Component,Value,Manuf,Manuf Part No,Distrib,Distrib Part No,Qty,
0.25Wresistor,,,,,,1,
0.25Wresistor,,,,,,1,
0.25Wresistor,,,,,,1,
0.25Wresistor,,,,,,1,
0.25Wresistor,,,,,,1,
0.25Wresistor,,,,,,1,
0.25Wresistor,,,,,,1,
0.25Wresistor,,,,,,1,
0.25Wresistor,,,,,,1,
0.125Wresistor,,,,,,1,
0.125Wresistor,,,,,,1,
0.125Wresistor,,,,,,1,
0.125Wresistor,,,,,,1,
0.125Wresistor,,,,,,1,
B3F-1050,,,,,,1,c
B3F-1050,,,,,,1,c
B3F-1050,,,,,,1,c
B3F-1050,,,,,,1,c
B3F-1050,,,,,,1,c
BDMConnector,,,,,,1,
Capacitor(Tantalum),0.1 uF,,,,,1,
Capacitor(Tantalum),fb,,,,,1,
CAS1007,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
Ceramic,,,,,,1,
LEDT1.75,,,,,,1,c
LM4041,,,,,,1,c
LM7805CT,,,LM7805,,,1,
MAX3232,,,,,,1,c
MC9S12C32MFUE25,,,,,,1,c
MC34119,,,,,,1,c
OffBoardSwitch,,,,,,1,
PowerJumper,,,,,,1,c
SerialDB9,,,,,,1,
SPDT,,,,,,1,
Speaker,,,,,,1,c
tantalum,,,,,,1,
tantalum,,,,,,1,
tantalum,,,,,,1,
testpoint,,,,,,1,c
testpoint,,,,,,1,c
TLV5616,,,,,,1,
XTAL,,,,,,1,
