Name,Component,Package,Value,Manuf,Manuf Part No,Distrib,Distrib Part No,Qty
A1,frame,,,,,,,1
A2,frame,,,,,,,1
C1,Ceramic,C,,,,,,1
C2,Ceramic,C,,,,,,1
C3,Ceramic,C,,,,,,1
C4,Ceramic,C,,,,,,1
C5,Ceramic,C,,,,,,1
C6,Ceramic,C,,,,,,1
C7,Ceramic,C,,,,,,1
C8,Ceramic,C,,,,,,1
C9,tantalum,C,,,,,,1
C10,Ceramic,C,,,,,,1
C11,Ceramic,C,,,,,,1
C12,tantalum,C,,,,,,1
C13,tantalum,C,,,,,,1
C14,Ceramic,C,,,,,,1
C15,Ceramic,C,,,,,,1
C16,Ceramic,C,,,,,,1
C17,Ceramic,C,,,,,,1
C18,Ceramic,C,,,,,,1
C19,Ceramic,C,,,,,,1
C20,Ceramic,C,,,,,,1
C21,Capacitor(Tantalum),C,0.1 uF,,,,,1
C22,Capacitor(Tantalum),C,fb,,,,,1
D1,LEDT1.75,SIP,,,,,,1
GND,testpoint,SIP,,,,,,1
GND1,Gnd,,,,,,,1
GND2,Gnd,,,,,,,1
GND3,Gnd,,,,,,,1
GND4,Gnd,,,,,,,1
GND5,Gnd,,,,,,,1
GND6,Gnd,,,,,,,1
GND7,Gnd,,,,,,,1
GND8,Gnd,,,,,,,1
GND9,Gnd,,,,,,,1
GND10,Gnd,,,,,,,1
GND11,Gnd,,,,,,,1
GND12,Gnd,,,,,,,1
GND13,Gnd,,,,,,,1
GND14,Gnd,,,,,,,1
GND15,Gnd,,,,,,,1
GND16,Gnd,,,,,,,1
GND17,Gnd,,,,,,,1
GND18,Gnd,,,,,,,1
GND19,Gnd,,,,,,,1
GND20,Gnd,,,,,,,1
GND21,Gnd,,,,,,,1
J1,BDMConnector,MOLEX 87049-0616,,,,,,1
J2,PowerJumper,SIP,,,,,,1
J3,SerialDB9,SM,,,,,,1
J5,Speaker,DIP,,,,,,1
Play,B3F-1050,DIP,,,,,,1
R1,0.125Wresistor,DIL,,,,,,1
R2,0.125Wresistor,DIL,,,,,,1
R3,0.125Wresistor,DIL,,,,,,1
R4,0.125Wresistor,DIL,,,,,,1
R5,0.125Wresistor,DIL,,,,,,1
R6,0.25Wresistor,DIP,,,,,,1
R8,0.25Wresistor,DIP,,,,,,1
R9,0.25Wresistor,DIP,,,,,,1
R10,0.25Wresistor,DIP,,,,,,1
R12,0.25Wresistor,DIP,,,,,,1
R13,0.25Wresistor,DIP,,,,,,1
R14,0.25Wresistor,DIP,,,,,,1
R15,0.25Wresistor,DIP,,,,,,1
R16,0.25Wresistor,DIP,,,,,,1
REF1,+5V,,,,,,,1
REF2,+5V,,,,,,,1
REF3,+5V,,,,,,,1
REF4,+5V,,,,,,,1
REF5,+5V,,,,,,,1
REF6,+5V,,,,,,,1
REF7,+5V,,,,,,,1
REF8,+5V,,,,,,,1
REF9,+5V,,,,,,,1
Restart,B3F-1050,DIP,,,,,,1
Rewind,B3F-1050,DIP,,,,,,1
Stop,B3F-1050,DIP,,,,,,1
SW1,B3F-1050,DIP,,,,,,1
SW2,OffBoardSwitch,DIP,,,,,,1
SW6,SPDT,MISC,,,,,,1
TheBox,CAS1007,MISC,,,,,,1
U1,MC9S12C32MFUE25,QFP80,,,,,,1
U2,LM7805CT,TO-220,,,LM7805,,,1
U3,MAX3232,DIP,,,,,,1
U4,MC34119,DIP,,,,,,1
U5,LM4041,MISC,,,,,,1
U6,TLV5616,SKDIP,,,,,,1
V4,5,,,,,,,1
V5,5,,,,,,,1
V6,5,,,,,,,1
V7,5,,,,,,,1
Vcc,testpoint,SIP,,,,,,1
Y1,XTAL,DSC,,,,,,1
PCB Artist Bill of Materials is provided for reference only and must be verified by the user.,,,,,,,,
